,kajal_name,Rate
0,MICIO Grand Mystique Extra Black Kajal Water Proof,₹98
1,Mexmy Handmade Herbal Baby Kajal - 100% Natural & Ayurv...,₹236
2,Lakmé Eyeconic Kajal Pencil,₹99
3,Lakmé Eyeconic Kajal Twin Pack,₹195
4,MAYBELLINE NEW YORK Colossal Kajal Promo,₹239
5,Jaquline USA One Stroke Twin Pack,₹84
6,MAYBELLINE NEW YORK Colossal Kajal,₹114
7,"Mexmy Herbal Baby Kajal - 100% Natural & Ayurvedic, Enr...",₹238
8,MAYBELLINE NEW YORK Call Me Colossal Kit - Colossal Wat...,₹655
9,FACES CANADA Magnet Eyes 24hrs Waterproof Kajal with Al...,₹77
10,Lakmé Eyeconic Insta Cool Kajal,₹135
11,Revlon Colorstay One-Stroke Defining Eyeliner Kajal,₹612
12,BLUE HEAVEN 2X Intense Kajal,₹88
13,Plum Eye-Swear-By Kohl Kajal - Deep Black | Creamy Smoo...,₹187
14,Organic Netra Baby Kajal-100% Chemical Free,₹189
15,Inatur Kajal| Long Lasting | Waterproof and Smudgeproof,₹133
16,"MAYBELLINE NEW YORK Colossal Kajal, 0.35g",₹267
17,"MamaEarth Charcoal Black Long Stay Kohl, Kajal Black Wa...",₹363
18,HIMALAYA Kajal,₹98
19,Revlon Colorstay One-Stroke Defining Eyeliner Kajal,₹650
20,L'Oréal Paris Paris Kajal Magique,₹285
21,FACES CANADA Intense Gel 24hr Longlasting Kajal with Ca...,₹317
22,"SERY Flasheye Intense Kajal, Water proof, Smudge proof",₹86
23,HOUSE OF MAKEUP Here To Stay Longwear Kajal - Noir,₹389
24,FACES CANADA Magneteyes Range 3 in 1,₹317
25,MAYBELLINE NEW YORK Colossal Kajal + Baby Lips Lip Balm...,₹382
26,maliao Waterproof Smudgeproof Auto White Kajal (White),₹127
27,"Mexmy New Born Baby Kajal - 100% Natural & Ayurvedic, E...",₹204
28,RONZILLE Gel Kajal & eyeliner smudge proof and waterpro...,₹139
29,"BLUE HEAVEN 2x Intense Kajal, Black Shock - Pack of 2",₹156
30,LOTUS MAKE - UP Make-Up Ecostay Kajal,₹232
31,Revlon Colorstay One-Stroke Defining Eyeliner Kajal,₹416
32,COLORBAR Mesmereyes Kajal,₹149
33,LOTUS MAKE - UP Make-Up Colorkick Kajal,₹98
34,LOTUS MAKE - UP Natural Kajal (Pack of 2),₹209
35,HOUSE OF MAKEUP Oh My Black,₹118
36,LOWPRICE PROFESSIONAL 2in1 studio touch Eyebrow and Gel...,₹189
37,BLUE HEAVEN 2X Intense Kajal,₹91
38,L'Oréal Paris Kajal Magique (Pack of 2),₹367
39,Revlon Colorstay One-Stroke Defining Eyeliner Kajal,₹364
